Date,Low,High 
1/1/2010,27.8,45.5
1/2/2010,27.7,45.5
1/3/2010,27.6,45.4
1/4/2010,27.6,45.4
1/5/2010,27.5,45.4
1/6/2010,27.5,45.3
1/7/2010,27.4,45.3
1/8/2010,27.4,45.3
1/9/2010,27.4,45.3
1/10/2010,27.3,45.3
1/11/2010,27.3,45.3
1/12/2010,27.3,45.3
1/13/2010,,45.3
1/14/2010,27.3,45.3
1/15/2010,27.3,45.4
1/16/2010,27.3,45.4
1/17/2010,27.3,45.4
1/18/2010,27.3,45.5
1/19/2010,27.4,45.5
1/20/2010,27.4,45.5
1/21/2010,27.4,45.6
1/22/2010,27.4,45.7
1/23/2010,27.5,45.7
1/24/2010,27.5,45.8
1/25/2010,27.6,45.9
1/26/2010,27.6,46
1/27/2010,27.7,46
1/28/2010,27.7,46.1
1/29/2010,27.8,46.3
1/30/2010,27.9,46.4
1/31/2010,27.9,46.5
